 "class" , "classLabel" , "subClassOf" , "subClassOfLabel" ,
 "https://www.sdir.no/SDIR_Simulator#LetterConcerningInspectionOfStabilityCalculations" , "Letter concerning inspection of stability calculations" , "https://www.sdir.no/SDIR_Simulator#StabilityDocumentation" , "Stability documentation" ,
 "https://www.sdir.no/SDIR_Simulator#GMDSSIdentity" , "GMDSS identity" , "https://www.sdir.no/SDIR_Simulator#Identification" , "Identification" ,
 "https://www.sdir.no/SDIR_Simulator#Barriers" , "Barriers" , "https://www.sdir.no/SDIR_Simulator#SafetyMeasures" , "Safety measures" ,
 "https://www.sdir.no/SDIR_Simulator#FloatValve" , "Float valve" , "https://www.sdir.no/SDIR_Simulator#Valve" , "Valve" ,
 "https://www.sdir.no/SDIR_Simulator#MeansOfEscape" , "Means of escape" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#Compass" , "Compass" , "https://www.sdir.no/SDIR_Simulator#Instrument" , "Instrument" ,
 "https://www.sdir.no/SDIR_Simulator#Compass" , "Compass" , "https://www.sdir.no/SDIR_Simulator#NavigationEquipment" , "Navigation equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Ladder" , "Ladder" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#Ladder" , "Ladder" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Ladder" , "Ladder" , "https://www.sdir.no/SDIR_Simulator#SafetyMeasures" , "Safety measures" ,
 "https://www.sdir.no/SDIR_Simulator#BridgeNavigationalWatchAlarmSystem" , "Bridge navigational watch alarm system" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#DistressSignalEquipment" , "Distress signal equipment" , "https://www.sdir.no/SDIR_Simulator#SignalingEquipment" , "Signaling equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Trunk" , "Trunk" , "https://www.sdir.no/SDIR_Simulator#Storage" , "Storage" ,
 "https://www.sdir.no/SDIR_Simulator#Corridor" , "Corridor" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#Caffine" , "Caffine" , "https://www.sdir.no/SDIR_Simulator#Fuel" , "Fuel" ,
 "https://www.sdir.no/SDIR_Simulator#LifeSavingAppliances" , "Life saving appliances" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#MeansForRemovingIce" , "Means for removing ice" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#BankFishing" , "Bank fishing" , "https://www.sdir.no/SDIR_Simulator#TradeArea" , "Trade area" ,
 "https://www.sdir.no/SDIR_Simulator#StabilityDocumentation" , "Stability documentation" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#AccumulatorBattery" , "Accumulator battery" , "https://www.sdir.no/SDIR_Simulator#PowerSource" , "Power source" ,
 "https://www.sdir.no/SDIR_Simulator#NorwegianMerchantFlag" , "Norwegian merchant flag" , "https://www.sdir.no/SDIR_Simulator#SignalFlag" , "Signal flag" ,
 "https://www.sdir.no/SDIR_Simulator#Stability" , "Stability" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#RadioChannel" , "Radio channel" , "https://www.sdir.no/SDIR_Simulator#Radio" , "Radio" ,
 "https://www.sdir.no/SDIR_Simulator#SafetyMeasures" , "Safety measures" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#Hull" , "Hull" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#Hull" , "Hull" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#FishingGear" , "Fishing gear" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Saucer" , "Saucer" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#DepthMeasuringEquipment" , "Depth measuring equipment" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#SmokeDetector" , "Smoke detector" , "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" ,
 "https://www.sdir.no/SDIR_Simulator#SmokeDetector" , "Smoke detector" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Insulation" , "Insulation" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#SignalFlag" , "Signal flag" , "https://www.sdir.no/SDIR_Simulator#SignalingEquipment" , "Signaling equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Bulkhead" , "Bulkhead" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#SeaArea" , "Sea area" , "https://www.sdir.no/SDIR_Simulator#GeographicalLocation" , "Geographical location" ,
 "https://www.sdir.no/SDIR_Simulator#ReportFormForElectricalInstallations" , "Report form for electrical installations" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#Record" , "Record" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#Switchboard" , "Switchboard" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Lights" , "Lights" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#IlluminationArrangement" , "Illumination arrangement" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#ExhaustManifold" , "Exhaust manifold" , "https://www.sdir.no/SDIR_Simulator#Pipe" , "Pipe" ,
 "https://www.sdir.no/SDIR_Simulator#CertificateOfInstallationForGasfiredInstallations" , "Certificate of installation for gasfired installations" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#SafetyEquipment" , "Safety equipment" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#AudibleAndVisualAlarm" , "Audible and visual alarm" , "https://www.sdir.no/SDIR_Simulator#DistressSignalEquipment" , "Distress signal equipment" ,
 "https://www.sdir.no/SDIR_Simulator#HeatDetector" , "Heat detector" , "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" ,
 "https://www.sdir.no/SDIR_Simulator#HeatDetector" , "Heat detector" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Master" , "Master" , "https://www.sdir.no/SDIR_Simulator#Role" , "Role" ,
 "https://www.sdir.no/SDIR_Simulator#Ventilation" , "Ventilation" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#TideTabel" , "Tide tabel" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#Sheet" , "Plate" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#Beam" , "Beam" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#InstallationAttestationForElectricalInstallations" , "Installation attestation for electrical installations" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#BankFishingI" , "Bank fishing I" , "https://www.sdir.no/SDIR_Simulator#BankFishing" , "Bank fishing" ,
 "https://www.sdir.no/SDIR_Simulator#Manhole" , "Manhole" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#Scandinavia" , "Scandinavia" , "https://www.sdir.no/SDIR_Simulator#Subregion" , "Subregion" ,
 "https://www.sdir.no/SDIR_Simulator#LoadedWaterline" , "Loaded waterline" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#Waterline" , "Waterline" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#FillingPipe" , "Filling pipe" , "https://www.sdir.no/SDIR_Simulator#Pipe" , "Pipe" ,
 "https://www.sdir.no/SDIR_Simulator#SoundSignalApparatuses" , "Sound signal apparatuses" , "https://www.sdir.no/SDIR_Simulator#SignalingEquipment" , "Signaling equipment" ,
 "https://www.sdir.no/SDIR_Simulator#ReleaseEquipment" , "Release equipment" , "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" ,
 "https://www.sdir.no/SDIR_Simulator#ReleaseEquipment" , "Release equipment" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Aluminium" , "Aluminium" , "https://www.sdir.no/SDIR_Simulator#NonCombustibleMaterial" , "Non-combustible material" ,
 "https://www.sdir.no/SDIR_Simulator#ManholeCover" , "Manhole cover" , "https://www.sdir.no/SDIR_Simulator#MeansOfClosure" , "Means of closure" ,
